Property_Type,Property_Purpose,Baths,Bedrooms,City,Area,Area_Name,Property_Price
House,For Sale,5,4,Lahore,10.0,Green City,40000000
House,For Sale,4,3,Lahore,5.0,Green City,30000000
House,For Sale,4,3,Lahore,5.0,Green City,30000000
House,For Sale,4,4,Lahore,10.0,Green City,40000000
House,For Sale,4,4,Lahore,12.0,Green City,50000000
House,For Sale,5,5,Lahore,12.0,Green City,50000000
House,For Sale,4,3,Lahore,5.0,Green City,30000000
House,For Rent,6,5,Lahore,80.0,Gulberg,1200000
House,For Rent,5,6,Lahore,20.0,Gulberg,500000
House,For Rent,6,5,Lahore,20.0,DHA Defence,300000
House,For Rent,5,5,Lahore,40.0,Gulberg,800000
House,For Rent,3,3,Lahore,6.0,Paragon City,55000
House,For Rent,4,3,Lahore,5.0,DHA Defence,200000
House,For Rent,5,4,Lahore,10.0,Askari,200000
House,For Rent,5,4,Lahore,10.0,DHA Defence,200000
House,For Rent,4,3,Lahore,5.0,DHA Defence,62000
House,For Rent,5,5,Lahore,20.0,Gulberg,500000
House,For Rent,4,4,Lahore,10.0,Askari,200000
House,For Rent,4,3,Lahore,5.0,DHA Defence,200000
House,For Rent,6,5,Lahore,20.0,DHA Defence,300000
House,For Rent,6,5,Lahore,20.0,DHA Defence,300000
House,For Rent,6,5,Lahore,20.0,DHA Defence,300000
House,For Rent,6,5,Lahore,22.0,DHA Defence,200000
House,For Rent,7,6,Lahore,40.0,DHA Defence,500000
House,For Rent,5,4,Lahore,20.0,DHA Defence,200000
House,For Rent,4,3,Lahore,10.0,DHA Defence,200000
House,For Rent,4,3,Lahore,5.0,DHA Defence,55000
House,For Rent,6,5,Lahore,20.0,DHA Defence,300000
House,For Rent,6,5,Lahore,20.0,DHA Defence,300000
House,For Rent,6,5,Lahore,20.0,DHA Defence,200000
House,For Rent,5,4,Lahore,10.0,DHA Defence,200000
House,For Rent,6,5,Lahore,10.0,Nasheman-e-Iqbal,90000
Flat,For Rent,3,3,Lahore,10.0,Askari,90000
Flat,For Rent,3,3,Lahore,10.0,Askari,100000
Flat,For Rent,1,1,Lahore,2.0,Bahria Town,45000
Flat,For Rent,1,1,Lahore,2.2,Bahria Town,50000
Flat,For Rent,1,1,Lahore,4.2,Main Canal Bank Road,75000
Flat,For Rent,1,2,Lahore,3.0,Eden,21000
Flat,For Rent,2,2,Lahore,7.6,Bahria Town,60000
Flat,For Rent,5,5,Lahore,10.0,DHA Defence,200000
